ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species,ACCHF1,ACCHF2,ACCHF3,ACCHM1,ACCHM3,CLPSF1,CLPSF3,CLPSM1,CLPSM2,CLPSM3,VIPSF2,VIPSM1,VIPSM2,WGSBF1,WGSBF2,WGSBM3,WOCHF1,WOCHF2,WOCHF3,WOCHM1,WOCHM2,WOCHM3
ASV86,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycodaceae,Saccharomycodes,ludwigii,0,0,8.75734E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV87,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Zygosaccharomyces,parabailii,0,0,0,0,1.09068E-05,2.23691E-05,0,0,2.38845E-05,0,0,0,0,0,0,0,2.95512E-05,0,0,2.77622E-05,0,0
ASV88,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Zygosaccharomyces,parabailii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.55754E-05,0,0,0,0
ASV89,Fungi,Ascomycota,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,6.37743E-05,0,0,0,7.14206E-05,0,0,0,0,0,0,0
ASV9,Fungi,Ascomycota,NA,NA,NA,NA,NA,0,0,0,0,0,0.01891535,0.007197112,0.020937652,0.035363205,0.015974819,0.000227369,0.000937505,0.00032338,0,0,0,0,0,0,0,0,0
ASV90,Fungi,Ascomycota,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,6.46288E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV91,Fungi,Ascomycota,Eurotiomycetes,NA,NA,NA,NA,0,0,0,0,0,0,0,0,4.218E-06,0,0,0,2.73472E-05,0,0,0,0,0,0,0,0,9.14263E-06
ASV92,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.22583E-05,0,0,4.87717E-05
ASV93,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,NA,0,0,0,0,0,0,0,0,6.18189E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV94,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycodaceae,Hanseniaspora,vineae,0,0,1.25105E-05,0,1.24649E-05,0,3.17877E-05,3.26863E-06,0,0,0,1.74437E-06,0,0,0,0,0,0,0,0,0,0
ASV95,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,bayanus,0,0,0,1.4226E-05,2.18135E-05,0,0,0,0,0,0,0,0,0,0,5.3018E-06,0,0,0,2.77622E-05,0,0
ASV96,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,kluyveri,5.0189E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV97,Fungi,Ascomycota,Leotiomycetes,Helotiales,Erysiphaceae,Erysiphe,actinidiae,0,0,0,0,0,0,5.6096E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV98,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,versicolor,0,0,0,0,0,0,1.30891E-05,1.79554E-05,0,1.78012E-05,0,0,0,0,0,0,0,0,0,0,0,0
ASV99,Fungi,Ascomycota,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,9.28614E-05,0,0,0,0,0,0,0,0
