	ACCHF1	ACCHF2	ACCHF3	ACCHM1	ACCHM2	ACCHM3	ACPNF1	ACPNF2	ACPNF3	ACPNM1	ACPNM2	ACPNM3	CLPSF1	CLPSF2	CLPSF3	CLPSM1	CLPSM2	CLPSM3	CLSBF1	CLSBF2	CLSBF3	CLSBM1	CLSBM2	CLSBM3	GAPNF1	GAPNF2	GAPNM1	GAPNM2	VIPSF1	VIPSF2	VIPSF3	VIPSM1	VIPSM2	VIPSM3	WGSBF1	WGSBF2	WGSBF3	WGSBM1	WGSBM2	WGSBM3	WOCHF1	WOCHF2	WOCHF3	WOCHM1	WOCHM2	WOCHM3
ASV32	0	57.3372206025267	67.8362573099415	0	190.43321299639	243.371855880353	0	0	0	0	0	0	180.240320427236	522.5	588.235294117647	287.907869481766	557.339449541284	183.026584867076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.7068965517241	0	0	31.5789473684211	0	0	0	0	0	0	0	0	0
ASV33	0	0	0	0	53.2490974729242	23.1135282121006	0	0	0	0	0	0	133.511348464619	1392.5	180.82788671024	647.472808701216	461.009174311927	990.79754601227	0	0	0	0	0	0	0	0	0	0	5.88235294117647	0	0	21.5384615384615	0	36.6379310344828	0	0	29.8245614035088	0	0	0	0	0	0	0	0	0
ASV35	41.4507772020725	397.473275024295	136.842105263158	0	603.790613718411	1121.68592794018	0	0	0	0	0	0	39.3858477970628	0	64.9237472766885	17.914267434421	32.1100917431193	30.6748466257669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82.7858081471748	0	167.543859649123	0	10.9289617486339	0	0	0	0	0	0	0
ASV36	697.261287934863	37.9008746355685	410.526315789474	50.3778337531486	0	0	0	0	0	0	0	0	10.6809078771696	0	16.557734204793	0	0	11.2474437627812	0	0	0	0	0	0	0	0	0	24.6305418719212	0	0	0	0	0	0	541.392904073587	0	492.982456140351	0	5.46448087431694	24.4498777506112	123.134328358209	133.928571428571	91.7874396135266	918.552036199095	720.067453625632	132.352941176471
ASV37	0	0	0	0	0	0	0	0	0	0	7.19424460431655	0	43.3911882510013	2350	235.729847494553	635.31669865643	312.691131498471	343.558282208589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV38	335.307179866765	113.702623906706	335.672514619883	32.7455919395466	92.9602888086642	233.854520734194	0	0	0	0	0	0	76.7690253671562	0	79.3028322440087	26.8714011516315	35.1681957186544	21.4723926380368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	706.964520367937	91.3140311804009	725.438596491228	0	169.398907103825	136.919315403423	0	0	0	0	0	0
ASV39	0	23.3236151603499	9.35672514619883	0	19.85559566787	40.1087695445275	0	0	0	0	0	0	469.292389853138	37.5	549.019607843137	114.523352527191	300.45871559633	53.1697341513292	0	0	0	0	0	0	0	0	0	0	0	0	8.33333333333333	0	0	15.0862068965517	0	0	48.2456140350877	0	0	0	0	0	74.8792270531401	70.1357466063348	20.2360876897133	142.857142857143
ASV40	72.5388601036269	0	35.0877192982456	304.785894206549	0	21.0740992522094	278.026905829596	270.110076206605	0	0	0	211.155378486056	15.3538050734312	0	28.7581699346405	0	17.5840978593272	0	0	0	0	0	0	0	0	0	0	83.743842364532	0	0	0	0	0	0	304.862023653088	0	771.929824561404	0	153.005464480874	112.469437652812	182.835820895522	130.952380952381	91.7874396135266	0	276.559865092749	813.025210084034
ASV41	0	0	0	0	0	0	0	0	0	0	0	0	112.817089452603	82.5	606.535947712418	301.343570057582	425.840978593272	103.271983640082	0	0	0	9.7799511002445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV42	0	0	0	0	22.5631768953069	0	455.156950672646	500.423370025402	104.683195592287	65.3846153846154	129.496402877698	348.605577689243	0	0	0	0	0	0	0	71.863580998782	28.0528052805281	193.154034229829	0	190.573770491803	447.004608294931	67.4846625766871	1651.0067114094	0	91.1764705882353	0	341.666666666667	55.3846153846154	0	155.172413793103	0	84.6325167037862	0	0	0	0	0	0	0	0	0	0
ASV43	51.0732790525537	87.463556851312	0	0	26.173285198556	24.4731475186948	0	0	0	0	0	0	224.966622162884	0	295.424836601307	71.0172744721689	113.149847094801	108.38445807771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	462.549277266754	42.3162583518931	449.122807017544	0	172.131147540984	100.244498777506	0	0	0	0	67.4536256323777	0
ASV45	114.729829755736	115.646258503401	341.520467836257	0	53.2490974729242	0	0	0	0	0	0	0	0	0	0	0	0	0	118.556701030928	118.148599269184	75.9075907590759	146.699266503668	148.854961832061	0	0	0	0	0	402.941176470588	0	587.5	0	0	239.224137931034	0	0	0	0	0	0	0	0	0	0	0	0
